rk,name,gp,receiving_tgts,receiving_rec,receiving_catch%,receiving_yds,receiving_td,receiving_long,receiving_yds/tgt,receiving_yds/rec,rushing_att,rushing_yds,rushing_avg,rushing_td,fum,fumbles_lost,fpts/g,2024_fpts/g
64,DeMario Douglas,14,78,49,62.8,561,0,42,7.2,11.4,8,41,5.1,0,3,1,7.7,8.7
65,Joshua Palmer,10,61,38,62.3,581,2,79,9.5,15.3,1,6,6,0,1,1,10.7,7.2
67,Noah Brown,10,55,33,60,567,2,75,10.3,17.2,1,-1,-1,0,0,0,10.2,7.8
68,Christian Watson,9,53,28,52.8,422,5,77,8,15.1,4,11,2.8,0,0,0,11.3,7
69,Kendrick Bourne,8,55,37,67.3,406,4,36,7.4,11,1,4,4,0,1,1,12.5,5.4
73,Alec Pierce,17,65,32,49.2,514,2,58,7.9,16.1,0,0,0,0,0,0,5.6,10.1
74,Quentin Johnston,17,67,38,56.7,431,2,57,6.4,11.3,3,9,3,0,0,0,5.5,11.6
79,Demarcus Robinson,16,39,26,66.7,371,4,37,9.5,14.3,1,23,23,0,2,1,5.5,7.3
80,Nick Westbrook-Ikhine,14,45,28,62.2,370,3,33,8.2,13.2,0,0,0,0,0,0,6.1,8
82,Jameson Williams,12,42,24,57.1,354,2,63,8.4,14.8,3,29,9.7,1,1,0,6.7,14.1
83,Darnell Mooney,15,61,31,50.8,414,1,41,6.8,13.4,2,5,2.5,0,0,0,5.3,12.1
85,Rashod Bateman,16,56,32,57.1,367,1,29,6.6,11.5,1,18,18,0,0,0,4.8,10.3
88,Tre Tucker,16,34,19,55.9,331,2,50,9.7,17.4,10,77,7.7,0,0,0,4.5,7.6
92,Marvin Mims Jr.,16,33,22,66.7,377,1,60,11.4,17.1,9,30,3.3,0,3,2,4,7.6
93,Greg Dortch,16,41,24,58.5,280,2,38,6.8,11.7,1,5,5,0,0,0,4,5.3
99,Allen Lazard,14,49,23,46.9,311,1,39,6.3,13.5,0,0,0,0,0,0,4.3,10.5
