rk,name,gp,receiving_tgts,receiving_rec,receiving_catch%,receiving_yds,receiving_td,receiving_long,receiving_yds/tgt,receiving_yds/rec,rushing_att,rushing_yds,rushing_avg,rushing_td,fum,fumbles_lost,fpts/g,2024_fpts/g
1,CeeDee Lamb,17,181,135,74.6,1749,12,92,9.7,13,14,113,8.1,2,3,2,23.7,17.6
2,Tyreek Hill,16,171,119,69.6,1799,13,78,10.5,15.1,6,15,2.5,0,1,1,23.5,12.8
3,Amon-Ra St. Brown,16,164,119,72.6,1515,10,70,9.2,12.7,4,24,6,0,1,1,20.7,18.6
4,Puka Nacua,17,160,105,65.6,1486,6,80,9.3,14.2,12,89,7.4,0,1,0,17.6,18.8
5,A.J. Brown,17,158,106,67.1,1456,7,59,9.2,13.7,0,0,0,0,2,2,17,16.7
6,DJ Moore,17,136,96,70.6,1364,8,58,10,14.2,4,21,5.2,1,1,1,16.9,14
7,Mike Evans,17,136,79,58.1,1255,13,75,9.2,15.9,0,0,0,0,0,0,16.6,17.2
8,Keenan Allen,13,150,108,72,1243,7,42,8.3,11.5,2,6,3,0,2,1,21.5,12.3
9,Stefon Diggs,17,160,107,66.9,1183,8,55,7.4,11.1,1,5,5,0,2,1,16.1,15.2
10,Davante Adams,17,175,103,58.9,1144,8,46,6.5,11.1,0,0,0,0,0,0,15.6,17.2
11,Ja'Marr Chase,16,145,100,69,1216,7,76,8.4,12.2,3,-6,-2,0,1,0,16.4,23.7
12,Nico Collins,15,109,80,73.4,1297,8,75,11.9,16.2,1,7,7,0,1,0,17.4,17.6
13,Michael Pittman Jr.,16,156,109,69.9,1152,4,75,7.4,10.6,0,0,0,0,2,1,15.6,10.4
15,Deebo Samuel Sr.,15,89,60,67.4,892,7,54,10,14.9,37,225,6.1,5,1,0,16.2,10.2
16,Chris Olave,16,138,87,63,1123,5,51,8.1,12.9,0,0,0,0,0,0,14.5,9.6
17,Adam Thielen,17,137,103,75.2,1014,4,32,7.4,9.8,1,6,6,0,2,0,13.6,13.9
18,Calvin Ridley,17,136,76,55.9,1016,8,59,7.5,13.4,9,23,2.6,0,1,0,13.5,11.7
19,DeVonta Smith,16,112,81,72.3,1066,7,63,9.5,13.2,0,0,0,0,1,1,14.2,15.3
20,Amari Cooper,15,128,72,56.2,1250,5,75,9.8,17.4,0,0,0,0,2,1,15.1,8.8
21,DK Metcalf,16,119,66,55.5,1114,8,73,9.4,16.9,0,0,0,0,0,0,14.1,12.7
22,DeAndre Hopkins,17,137,75,54.7,1057,7,61,7.7,14.1,2,9,4.5,0,0,0,13.2,9.2
23,Jordan Addison,17,108,70,64.8,911,10,62,8.4,13,1,2,2,0,0,0,13,14.2
24,Jakobi Meyers,16,106,71,67,807,8,33,7.6,11.4,4,24,6,2,0,0,13.7,14.5
25,Jayden Reed,16,94,64,68.1,793,8,59,8.4,12.4,11,119,10.8,2,2,0,13.6,11.6
26,Garrett Wilson,17,168,95,56.5,1042,3,68,6.2,11,4,0,0,0,2,2,12.5,14.8
27,Rashee Rice,16,102,79,77.5,938,7,67,9.2,11.9,1,-3,-3,0,2,1,13.3,16.2
28,Chris Godwin,17,130,83,63.8,1024,2,47,7.9,12.3,4,38,9.5,1,0,0,12.3,19.7
29,Terry McLaurin,17,132,79,59.8,1002,4,48,7.6,12.7,0,0,0,1,0,0,12.3,15.8
30,George Pickens,17,106,63,59.4,1140,5,86,10.8,18.1,3,18,6,0,3,0,12.3,11.7
31,Zay Flowers,16,108,77,71.3,858,5,75,7.9,11.1,8,56,7,1,0,0,12.9,12.3
32,Tyler Lockett,17,122,79,64.8,894,5,37,7.3,11.3,0,0,0,0,0,0,11.9,7.1
33,Justin Jefferson,10,100,68,68,1074,5,52,10.7,15.8,1,-12,-12,0,1,1,20.2,18.7
34,Jaylen Waddle,14,104,72,69.2,1014,4,60,9.8,14.1,3,12,4,0,0,0,14.2,10
35,Courtland Sutton,16,90,59,65.6,772,10,46,8.6,13.1,0,0,0,0,3,3,11.9,14.1
36,Romeo Doubs,17,96,59,61.5,674,8,36,7,11.4,0,0,0,0,1,0,10.3,10.2
37,Drake London,16,110,69,62.7,905,2,45,8.2,13.1,0,0,0,0,0,0,10.9,16.5
38,Brandin Cooks,16,81,54,66.7,657,8,37,8.1,12.2,5,35,7,0,1,0,10.8,7
39,Tank Dell,11,75,47,62.7,709,7,68,9.5,15.1,11,51,4.6,0,1,0,15,10
40,Cooper Kupp,12,95,59,62.1,737,5,62,7.8,12.5,1,-3,-3,0,0,0,13.7,14.6
43,Josh Downs,17,98,68,69.4,771,2,59,7.9,11.3,0,0,0,0,0,0,9.2,13.1
44,Diontae Johnson,13,87,51,58.6,717,5,71,8.2,14.1,0,0,0,0,1,0,11.7,7.4
45,Darius Slayton,17,79,50,63.3,770,4,80,9.7,15.4,0,0,0,0,0,0,8.9,6.9
46,Christian Kirk,12,85,57,67.1,787,3,57,9.3,13.8,1,6,6,0,2,2,12.5,8.9
47,Jaxon Smith-Njigba,17,93,63,67.7,628,4,35,6.8,10,0,0,0,0,0,0,8.8,14.9
48,Rashid Shaheed,15,75,46,61.3,719,5,58,9.6,15.6,7,37,5.3,0,1,1,10,12.6
49,Tyler Boyd,17,98,67,68.4,667,2,64,6.8,10,2,11,5.5,0,0,0,8.5,4.9
50,Jerry Jeudy,16,87,54,62.1,758,2,47,8.7,14,0,0,0,0,0,0,8.9,14.2
51,Tee Higgins,12,76,42,55.3,656,5,80,8.6,15.6,0,0,0,0,0,0,11.5,18.5
53,Wan'Dale Robinson,15,78,60,76.9,525,1,33,6.7,8.8,9,87,9.7,1,0,0,8.9,10.7
54,Elijah Moore,17,104,59,56.7,640,2,42,6.2,10.8,9,11,1.2,0,2,2,7.8,7.1
58,Dontayvion Wicks,15,58,39,67.2,581,4,35,10,14.9,1,1,1,0,3,1,8,6.5
60,Michael Wilson,13,58,38,65.5,565,3,69,9.7,14.9,0,0,0,0,0,0,8.8,7.8
61,Khalil Shakir,17,45,39,86.7,611,2,81,13.6,15.7,1,10,10,0,1,0,6.7,12.2
62,Tutu Atwell,16,67,39,58.2,483,3,44,7.2,12.4,5,31,6.2,0,0,0,7,5.8
