rk,name,gp,receiving_tgts,receiving_rec,receiving_catch%,receiving_yds,receiving_td,receiving_long,receiving_yds/tgt,receiving_yds/rec,rushing_att,rushing_yds,rushing_avg,rushing_td,fum,fumbles_lost,fpts/g,2023_fpts/g
62,Lawrence Cager,7,19,13,68.4,118,1,20,6.2,9.1,0,0,0,0,0,0,4.4,1.2
63,John Bates,16,22,14,63.6,108,1,20,4.9,7.7,0,0,0,0,1,0,1.9,2
64,Teagan Quitoriano,9,14,7,50,113,2,52,8.1,16.1,0,0,0,0,0,0,3.4,0.8
66,Donald Parham Jr.,6,12,10,83.3,130,1,24,10.8,13,0,0,0,0,0,0,4.8,5.7
68,James Mitchell,14,11,11,100,113,1,22,10.3,10.3,0,0,0,0,0,0,2,0.3
69,Brevin Jordan,11,28,14,50,128,0,20,4.6,9.1,0,0,0,0,0,0,2.4,3.6
70,Marcedes Lewis,17,7,6,85.7,66,2,31,9.4,11,0,0,0,0,0,0,1.6,0.8
72,Josiah Deguara,17,15,13,86.7,114,0,25,7.6,8.8,0,0,0,0,0,0,1.4,1
73,Geoff Swaim,17,16,12,75,58,1,13,3.6,4.8,0,0,0,0,0,0,1.4,1.4
74,Pharaoh Brown,16,20,12,60,117,0,30,5.8,9.8,0,0,0,0,0,0,1.5,2.2
75,Jack Stoll,17,14,11,78.6,123,0,26,8.8,11.2,0,0,0,0,0,0,1.4,0.5
76,Tanner Hudson,11,15,10,66.7,132,0,27,8.8,13.2,0,0,0,0,0,0,2.1,6.7
78,Ko Kieft,17,10,7,70,80,1,19,8,11.4,0,0,0,0,0,0,1.2,0.5
79,Quintin Morris,14,11,8,72.7,84,1,26,7.6,10.5,0,0,0,0,1,1,1.5,0.7
85,Brycen Hopkins,14,11,7,63.6,109,0,22,9.9,15.6,0,0,0,0,0,0,1.3,0.9
88,Grant Calcaterra,15,9,5,55.6,81,0,40,9,16.2,0,0,0,0,0,0,0.9,0.5
93,Blake Bell,3,2,2,100,20,1,17,10,10,0,0,0,0,0,0,3.3,0.7
95,Charlie Kolar,2,6,4,66.7,49,0,15,8.2,12.2,0,0,0,0,0,0,4.5,1.4
96,Luke Farrell,17,4,4,100,40,0,15,10,10,0,0,0,0,0,0,0.5,1.7
100,Stephen Sullivan,14,6,2,33.3,46,0,33,7.7,23,0,0,0,0,0,0,0.5,2.2
