rk,name,gp,receiving_tgts,receiving_rec,receiving_catch%,receiving_yds,receiving_td,receiving_long,receiving_yds/tgt,receiving_yds/rec,rushing_att,rushing_yds,rushing_avg,rushing_td,fum,fumbles_lost,fpts/g
62,Demarcus Robinson,17,64,31,48.4,505,7,46,7.9,16.3,0,0,0,0,0,0,7.3
63,Amari Cooper,14,85,44,51.8,547,4,30,6.4,12.4,0,0,0,0,0,0,8.8
64,Stefon Diggs,8,64,47,73.4,496,3,49,7.8,10.6,3,8,2.7,1,0,0,15.2
65,Kayshon Boutte,15,68,43,63.2,589,3,48,8.7,13.7,0,0,0,0,0,0,8.1
66,Tyler Lockett,17,74,49,66.2,600,2,37,8.1,12.2,0,0,0,0,0,0,7.1
67,Elijah Moore,17,102,61,59.8,538,1,44,5.3,8.8,1,1,1,0,0,0,7.1
68,Andrei Iosivas,17,61,36,59,479,6,39,7.9,13.3,0,0,0,0,0,0,7.1
69,Olamide Zaccheaus,17,64,45,70.3,506,3,49,7.9,11.2,1,8,8,0,3,0,6.7
70,Calvin Austin III,17,58,36,62.1,548,4,55,9.4,15.2,0,0,0,0,1,1,6.6
71,Keon Coleman,13,57,29,50.9,556,4,64,9.8,19.2,1,9,9,0,0,0,8.6
72,Dontayvion Wicks,17,76,39,51.3,415,5,36,5.5,10.6,0,0,0,0,0,0,6.5
73,Darius Slayton,16,71,39,54.9,573,2,43,8.1,14.7,2,17,8.5,0,1,0,6.9
74,Joshua Palmer,15,65,39,60,584,1,45,9,15,0,0,0,0,0,0,7.2
75,Devaughn Vele,13,55,41,74.5,475,3,37,8.6,11.6,0,0,0,0,0,0,8.2
76,Christian Watson,15,53,29,54.7,620,2,60,11.7,21.4,4,23,5.8,0,1,1,7
77,Jalen Nailor,17,42,28,66.7,414,6,33,9.9,14.8,3,-4,-1.3,0,1,0,6.2
78,Tutu Atwell,17,62,42,67.7,562,0,50,9.1,13.4,2,7,3.5,0,0,0,5.8
79,Mack Hollins,17,50,31,62,378,5,44,7.6,12.2,0,0,0,0,0,0,5.8
80,Parker Washington,17,51,32,62.7,390,3,30,7.6,12.2,0,0,0,1,2,0,5.7
81,Ricky Pearsall,11,46,31,67.4,400,3,46,8.7,12.9,3,45,15,0,0,0,8.5
82,Jalen Coker,11,46,32,69.6,478,2,83,10.4,14.9,0,0,0,0,0,0,8.4
83,Tim Patrick,16,44,33,75,394,3,42,9,11.9,0,0,0,0,0,0,5.8
84,KaVontae Turpin,17,52,31,59.6,420,2,64,8.1,13.5,16,92,5.8,0,4,1,5.4
85,Greg Dortch,17,50,37,74,342,3,39,6.8,9.2,5,31,6.2,0,3,1,5.3
86,Diontae Johnson,12,67,33,49.3,375,3,39,5.6,11.4,2,6,3,0,0,0,7.4
87,Noah Brown,11,56,35,62.5,453,1,52,8.1,12.9,0,0,0,0,0,0,7.8
88,David Moore,17,57,32,56.1,351,3,21,6.2,11,1,0,0,0,0,0,5
89,Marquez Valdes-Scantling,14,44,19,43.2,411,4,71,9.3,21.6,1,4,4,0,0,0,6
90,Cedric Tillman,11,49,29,59.2,339,3,38,6.9,11.7,1,-5,-5,0,1,1,7.3
91,Sterling Shepard,14,51,32,62.7,334,1,30,6.5,10.4,8,69,8.6,0,0,0,5.7
92,Tyler Boyd,16,57,39,68.4,390,0,40,6.8,10,1,3,3,0,0,0,4.9
93,Chris Olave,8,44,32,72.7,400,1,39,9.1,12.5,1,7,7,0,1,1,9.6
94,Rashid Shaheed,6,41,20,48.8,349,3,70,8.5,17.4,6,29,4.8,0,1,0,12.6
95,Christian Kirk,8,47,27,57.4,379,1,61,8.1,14,0,0,0,0,0,0,8.9
96,Brandin Cooks,10,54,26,48.1,259,3,29,4.8,10,3,-3,-1,0,0,0,7
97,Dyami Brown,16,40,30,75,308,1,51,7.7,10.3,3,26,8.7,0,1,1,4.2
98,Troy Franklin,16,53,28,52.8,263,2,30,5,9.4,2,8,4,0,0,0,4.2
99,Kendrick Bourne,12,38,28,73.7,305,1,37,8,10.9,1,6,6,0,0,0,5.4
100,Rashee Rice,4,29,24,82.8,288,2,44,9.9,12,1,1,1,0,0,0,16.2
