rk,name,gp,receiving_tgts,receiving_rec,receiving_catch%,receiving_yds,receiving_td,receiving_long,receiving_yds/tgt,receiving_yds/rec,rushing_att,rushing_yds,rushing_avg,rushing_td,fum,fumbles_lost,fpts/g
77,John Bates,17,13,8,61.5,84,0,20,6.5,10.5,0,0,0,0,1,1,0.8
78,Durham Smythe,17,17,9,52.9,53,0,8,3.1,5.9,0,0,0,0,0,0,0.8
79,Ben Sinnott,17,5,5,100,28,1,12,5.6,5.6,0,0,0,0,0,0,0.8
80,Devin Culp,5,6,5,83.3,88,0,26,14.7,17.6,0,0,0,0,0,0,2.8
81,Hunter Long,17,9,7,77.8,60,0,18,6.7,8.6,0,0,0,0,0,0,0.8
82,Pharaoh Brown,15,12,8,66.7,65,0,17,5.4,8.1,0,0,0,0,1,1,0.8
83,Chris Manhertz,17,4,3,75,30,1,16,7.5,10,0,0,0,0,0,0,0.7
84,Gerald Everett,17,13,8,61.5,36,0,17,2.8,4.5,0,0,0,0,0,0,0.7
85,Charlie Woerner,16,12,7,58.3,46,0,13,3.8,6.6,0,0,0,0,0,0,0.7
86,Luke Musgrave,7,10,7,70,45,0,19,4.5,6.4,0,0,0,0,0,0,1.6
87,Tucker Fisk,9,8,7,87.5,39,0,10,4.9,5.6,0,0,0,0,0,0,1.2
88,Peyton Hendershot,7,5,5,100,51,0,15,10.2,10.2,0,0,0,0,0,0,1.4
89,Davis Allen,15,13,6,46.2,39,0,13,3,6.5,0,0,0,0,0,0,0.7
90,Tip Reiman,17,7,6,85.7,37,0,14,5.3,6.2,0,0,0,0,0,0,0.6
91,Ben Sims,17,5,4,80,42,0,28,8.4,10.5,0,0,0,0,0,0,0.5
92,Greg Dulcich,9,12,5,41.7,28,0,9,2.3,5.6,0,0,0,0,0,0,0.9
93,Cam Grandy,8,5,5,100,28,0,9,5.6,5.6,0,0,0,0,0,0,1
94,E.J. Jenkins,8,2,1,50,7,1,7,3.5,7,0,0,0,0,0,0,1
95,Will Mallory,10,8,4,50,29,0,10,3.6,7.2,0,0,0,0,0,0,0.7
96,Dallin Holker,12,4,3,75,21,0,10,5.2,7,0,0,0,0,0,0,0.4
97,Tanner Conner,8,4,3,75,16,0,11,4,5.3,0,0,0,0,0,0,0.6
98,Josiah Deguara,15,3,3,100,14,0,8,4.7,4.7,0,0,0,0,0,0,0.3
99,Jaheim Bell,15,3,2,66.7,20,0,19,6.7,10,0,0,0,0,0,0,0.3
100,Ian Thomas,5,6,3,50,7,0,3,1.2,2.3,0,0,0,0,0,0,0.7
