rk,name,gp,receiving_tgts,receiving_rec,receiving_catch%,receiving_yds,receiving_td,receiving_long,receiving_yds/tgt,receiving_yds/rec,rushing_att,rushing_yds,rushing_avg,rushing_td,fum,fumbles_lost,fpts/g,2024_fpts/g
1,Sam LaPorta,17,120,86,71.7,889,10,48,7.4,10.3,1,4,4,0,0,0,14.1,10.9
2,Evan Engram,17,143,114,79.7,963,4,34,6.7,8.4,0,0,0,0,3,2,13.5,9.9
3,Travis Kelce,15,121,93,76.9,984,5,53,8.1,10.6,0,0,0,0,1,1,14.6,12.2
4,T.J. Hockenson,15,127,95,74.8,960,5,29,7.6,10.1,0,0,0,0,1,1,14.6,8.7
5,George Kittle,16,90,65,72.2,1020,6,66,11.3,15.7,1,2,2,0,0,0,12.7,15.8
6,David Njoku,16,123,81,65.9,882,6,43,7.2,10.9,0,0,0,0,2,2,12.6,13.5
7,Trey McBride,17,106,81,76.4,825,3,38,7.8,10.2,0,0,0,0,1,0,10.7,15.6
8,Cole Kmet,17,90,73,81.1,719,6,53,8,9.8,3,2,0.7,0,1,0,10.7,7.1
9,Jake Ferguson,17,102,71,69.6,761,5,40,7.5,10.7,0,0,0,0,0,0,10.4,7.5
10,Dalton Schultz,15,88,59,67,635,5,31,7.2,10.8,0,0,0,0,1,1,10,7
11,Dalton Kincaid,16,91,73,80.2,673,2,51,7.4,9.2,0,0,0,0,1,1,9.4,7.8
12,Kyle Pitts,17,90,53,58.9,667,3,39,7.4,12.6,1,-4,-4,0,0,0,8.1,7.7
13,Dallas Goedert,14,83,59,71.1,592,3,49,7.1,10,1,1,1,0,0,0,9.7,10.4
14,Mark Andrews,10,61,45,73.8,544,6,38,8.9,12.1,1,0,0,0,1,0,13.5,11.1
16,Jonnu Smith,17,70,50,71.4,582,3,60,8.3,11.6,1,0,0,0,1,1,7.3,13.1
17,Tyler Conklin,17,87,61,70.1,621,0,37,7.1,10.2,1,0,0,0,0,0,7.2,7.6
18,Hunter Henry,14,61,42,68.9,419,6,24,6.9,10,0,0,0,0,1,0,8.6,9.1
19,Cade Otton,17,67,47,70.1,455,4,27,6.8,9.7,0,0,0,0,1,1,6.9,10
20,Chig Okonkwo,17,77,54,70.1,528,1,39,6.9,9.8,2,6,3,0,0,0,6.7,6.7
22,Gerald Everett,15,70,51,72.9,411,3,31,5.9,8.1,3,10,3.3,0,3,0,7.4,0.7
23,Tyler Higbee,15,70,47,67.1,495,2,33,7.1,10.5,0,0,0,0,0,0,7.2,8.9
24,Isaiah Likely,17,40,30,75,411,5,54,10.3,13.7,0,0,0,0,0,0,5.9,7.7
25,Juwan Johnson,13,59,37,62.7,368,4,32,6.2,9.9,0,0,0,0,0,0,7.5,7.2
26,Tanner Hudson,12,50,39,78,352,1,26,7,9,0,0,0,0,0,0,6.7,3.5
28,Tucker Kraft,17,40,31,77.5,355,2,43,8.9,11.5,0,0,0,0,0,0,4.6,9.6
29,Pat Freiermuth,12,47,32,68.1,308,2,29,6.6,9.6,0,0,0,0,0,0,6.4,9.9
30,Luke Musgrave,11,46,34,73.9,352,1,37,7.7,10.4,0,0,0,0,0,0,6.8,1.6
31,Noah Fant,17,43,32,74.4,414,0,51,9.6,12.9,0,0,0,0,0,0,4.3,7.4
32,Kylen Granson,15,50,30,60,368,1,46,7.4,12.3,1,2,2,0,0,0,4.9,1.9
33,Durham Smythe,16,43,35,81.4,366,0,22,8.5,10.5,0,0,0,0,0,0,4.5,0.8
34,Michael Mayer,14,40,27,67.5,304,2,32,7.6,11.3,0,0,0,0,0,0,5.1,3.3
35,Noah Gray,17,41,28,68.3,305,2,34,7.4,10.9,1,1,1,0,0,0,4.2,6.7
36,Mike Gesicki,17,45,29,64.4,244,2,18,5.4,8.4,0,0,0,0,0,0,3.8,8.3
37,Colby Parkinson,17,34,25,73.5,247,2,27,7.3,9.9,0,0,0,0,0,0,3.6,3.8
38,Adam Trautman,17,35,22,62.9,204,3,24,5.8,9.3,0,0,0,0,0,0,3.6,2.6
39,Tommy Tremble,16,32,23,71.9,194,3,30,6.1,8.4,0,0,0,0,0,0,3.8,4.7
40,Dawson Knox,12,36,22,61.1,186,2,17,5.2,8.5,0,0,0,0,0,0,4.5,3.7
41,Josh Oliver,17,28,22,78.6,213,2,33,7.6,9.7,0,0,0,0,1,1,3.1,4.4
42,Zach Ertz,7,43,27,62.8,187,1,17,4.3,6.9,0,0,0,0,0,0,7.4,10.4
44,Daniel Bellinger,17,28,25,89.3,255,0,26,9.1,10.2,0,0,0,0,0,0,3,1.6
45,Drew Sample,17,27,22,81.5,163,2,22,6,7.4,0,0,0,0,0,0,3,2.1
46,Mo Alie-Cox,17,22,13,59.1,161,3,35,7.3,12.4,0,0,0,0,0,0,2.9,1.9
47,Austin Hooper,17,31,25,80.6,234,0,21,7.5,9.4,0,0,0,0,0,0,2.8,6.4
48,Foster Moreau,15,25,21,84,193,1,23,7.7,9.2,0,0,0,0,0,0,3.1,6.1
49,Hayden Hurst,9,32,18,56.2,184,1,48,5.8,10.2,0,0,0,0,0,0,4.7,1.7
50,Johnny Mundt,17,23,17,73.9,172,1,32,7.5,10.1,0,0,0,0,0,0,2.4,2.7
51,Will Dissly,16,22,17,77.3,172,1,21,7.8,10.1,0,0,0,0,0,0,2.5,7.3
52,Connor Heyward,17,34,23,67.6,167,0,13,4.9,7.3,1,0,0,0,0,0,2.3,0.9
53,Will Mallory,12,26,18,69.2,207,0,43,8,11.5,0,0,0,0,1,0,3.2,0.7
54,Harrison Bryant,17,20,13,65,81,3,23,4,6.2,5,8,1.6,0,1,1,2.2,1.4
55,Pharaoh Brown,17,15,13,86.7,208,1,58,13.9,16,0,0,0,0,1,1,2.2,0.8
