rk,name,gp,receiving_tgts,receiving_rec,receiving_catch%,receiving_yds,receiving_td,receiving_long,receiving_yds/tgt,receiving_yds/rec,rushing_att,rushing_yds,rushing_avg,rushing_td,fum,fumbles_lost,fpts/g,2024_fpts/g
56,Elijah Higgins,11,19,14,73.7,163,1,26,8.6,11.6,0,0,0,0,0,0,3.3,2.9
57,Drew Ogletree,12,21,9,42.9,147,2,33,7,16.3,0,0,0,0,0,0,3,1.5
58,John Bates,17,28,19,67.9,151,0,35,5.4,7.9,0,0,0,0,0,0,2,0.8
61,Stone Smartt,16,21,11,52.4,155,1,51,7.4,14.1,0,0,0,0,0,0,2,2.3
62,Jeremy Ruckert,15,22,16,72.7,151,0,23,6.9,9.4,0,0,0,0,0,0,2.1,1.7
63,Luke Farrell,17,15,13,86.7,155,0,42,10.3,11.9,0,0,0,0,0,0,1.7,1.1
64,Jordan Akins,17,23,15,65.2,132,0,28,5.7,8.8,0,0,0,0,0,0,1.7,5.4
65,Brock Wright,14,14,13,92.9,91,1,25,6.5,7,0,0,0,0,0,0,2,2.1
66,Luke Schoonmaker,17,15,8,53.3,65,2,18,4.3,8.1,0,0,0,0,0,0,1.6,3.4
67,MyCole Pruitt,17,12,9,75,110,1,22,9.2,12.2,0,0,0,0,1,0,1.5,1.3
68,Davis Allen,15,11,10,90.9,95,1,21,8.6,9.5,0,0,0,0,0,0,1.7,0.7
70,Josh Whyle,11,15,9,60,94,1,24,6.3,10.4,0,0,0,0,0,0,2.2,3.6
71,Lucas Krull,7,14,8,57.1,95,1,35,6.8,11.9,0,0,0,0,0,0,3.4,2.6
74,Charlie Kolar,15,9,7,77.8,87,1,19,9.7,12.4,0,0,0,0,0,0,1.4,2.2
78,Josiah Deguara,15,8,8,100,65,0,19,8.1,8.1,0,0,0,0,0,0,1,0.3
79,Brenton Strange,14,9,5,55.6,35,1,17,3.9,7,0,0,0,0,0,0,1,5.4
81,Darnell Washington,17,10,7,70,61,0,12,6.1,8.7,0,0,0,0,0,0,0.8,2.6
84,Ben Sims,17,6,4,66.7,21,1,12,3.5,5.2,0,0,0,0,0,0,0.7,0.5
86,Payne Durham,13,7,5,71.4,58,0,25,8.3,11.6,0,0,0,0,0,0,0.8,2.2
87,Quintin Morris,15,3,2,66.7,26,1,15,8.7,13,0,0,0,0,0,0,0.7,0.9
88,Ian Thomas,12,9,5,55.6,56,0,28,6.2,11.2,0,0,0,0,0,0,0.9,0.7
89,Julian Hill,15,9,6,66.7,48,0,18,5.3,8,0,0,0,0,1,1,0.6,1.4
91,Grant Calcaterra,15,4,4,100,39,0,12,9.8,9.8,0,0,0,0,0,0,0.5,3.5
92,Peyton Hendershot,8,7,4,57.1,38,0,24,5.4,9.5,1,0,0,0,0,0,1,1.4
94,Charlie Woerner,17,3,3,100,32,0,20,10.7,10.7,0,0,0,0,0,0,0.4,0.7
95,Nate Adkins,10,5,4,80,22,0,11,4.4,5.5,0,0,0,0,0,0,0.6,2.6
96,Greg Dulcich,2,4,3,75,25,0,13,6.2,8.3,0,0,0,0,0,0,2.8,0.9
98,Kenny Yeboah,5,4,2,50,28,0,20,7,14,0,0,0,0,0,0,1,1.7
100,Eric Saubert,10,3,3,100,12,0,5,4,4,0,0,0,0,0,0,0.4,1.6
